Searching and Sorting,Find All Four Sum Numbers,Medium,38,No,https://practice.geeksforgeeks.org/problems/find-all-four-sum-numbers1732/1?page=1&difficulty%5B%5D=1&category%5B%5D=Sorting&sortBy=submissions
Searching and Sorting,Minimum Swaps to Sort,Medium,38,No,https://practice.geeksforgeeks.org/problems/minimum-swaps/1?page=1&difficulty%5B%5D=1&category%5B%5D=Sorting&sortBy=submissions
Searching and Sorting,Number of pairs,Medium,39,No,https://practice.geeksforgeeks.org/problems/number-of-pairs3422/1?page=1&difficulty%5B%5D=1&category%5B%5D=Sorting&sortBy=submissions
Searching and Sorting,Sort an Array,Medium,39,No,https://leetcode.com/problems/sort-an-array
Searching and Sorting,Sorting Elements of an Array by Frequency,Medium,39,No,https://practice.geeksforgeeks.org/problems/sorting-elements-of-an-array-by-frequency-1587115621/1?page=1&difficulty%5B%5D=1&category%5B%5D=Sorting&sortBy=submissions
Searching and Sorting,Overlapping Intervals,Medium,40,No,https://practice.geeksforgeeks.org/problems/8a644e94faaa94968d8665ba9e0a80d1ae3e0a2d/1?page=2&difficulty%5B%5D=1&category%5B%5D=Sorting&sortBy=submissions
Searching and Sorting,Find minimum number of Laptops required,Medium,40,No,https://practice.geeksforgeeks.org/problems/af49b143a4ead583e943ca6176fbd7ea55b121ae/1?page=2&difficulty%5B%5D=1&category%5B%5D=Sorting&sortBy=submissions
Searching and Sorting,LCP,Medium,40,No,https://practice.geeksforgeeks.org/problems/cf0cd86c66d07222499f84ec22dbcf6cae30e848/1?page=2&difficulty%5B%5D=1&category%5B%5D=Sorting&sortBy=submissions
Searching and Sorting,Reach a Number,Medium,41,No,https://leetcode.com/problems/reach-a-number
Searching and Sorting,Heaters,Medium,41,No,https://leetcode.com/problems/heaters
Searching and Sorting,Friends Of Appropriate Ages,Medium,41,No,https://leetcode.com/problems/friends-of-appropriate-ages
Searching and Sorting,Koko Eating Bananas,Medium,42,No,https://leetcode.com/problems/koko-eating-bananas
Searching and Sorting,3Sum,Medium,42,No,https://leetcode.com/problems/3sum
Searching and Sorting,3Sum Closest,Medium,42,No,https://leetcode.com/problems/3sum-closest
Searching and Sorting,Nth Digit,Medium,42,No,https://leetcode.com/problems/nth-digit
Searching and Sorting,Sort a 2D vector diagonally,Medium,43,No,https://practice.geeksforgeeks.org/problems/diagonal-morning-assembly0028/1?page=2&difficulty%5B%5D=1&category%5B%5D=Sorting&sortBy=submissions
Searching and Sorting,Maximum Intersecting Lines,Medium,43,No,https://practice.geeksforgeeks.org/problems/63c232252d445a377e01cd91adfd7d1060580038/1?page=3&difficulty%5B%5D=1&category%5B%5D=Sorting&sortBy=submissions
Searching and Sorting,Merge Without Extra Space,Hard,43,No,https://practice.geeksforgeeks.org/problems/merge-two-sorted-arrays-1587115620/1?page=1&difficulty%5B%5D=2&category%5B%5D=Sorting&sortBy=submissions
Searching and Sorting,Median of the Subarrays,Hard,44,No,https://practice.geeksforgeeks.org/problems/6f08220ca3b871be594f50f7f56a9ef2799cb485/1?page=1&difficulty%5B%5D=2&category%5B%5D=Sorting&sortBy=submissions
Searching and Sorting,Median of Array,Hard,44,No,https://www.interviewbit.com/problems/median-of-array/
Searching and Sorting,Implement Power Function,Hard,45,No,https://www.interviewbit.com/problems/implement-power-function/
